500,Enterobacteria phage NC6,DQ079907,521
501,Enterobacteria phage WA14,DQ079909,284
502,Enterobacteria phage DE3,EU078592,450
503,Enterobacteria phage BZ13,FJ483837,537
504,Enterobacteria phage 2851,FM180578,493
505,Enterobacteria phage phi92,FR775895,948
506,Escherichia phage K1-dep(4),GU196277,577
507,Escherichia phage K1-dep(1),GU196278,578
508,Escherichia phage K1-ind(1),GU196279,580
509,Escherichia phage K1-ind(2),GU196280,581
510,Escherichia phage K1-ind(3),GU196281,579
511,Escherichia phage vB_EcoM_ECO1230-10,GU903191,600
512,Enterobacteria phage T4T,HM137666,609
513,Stx2 converting phage vB_EcoP_24B,HM208303,621
514,Enterobacteria phage f1,JF719732,796
515,Escherichia phage JLK-2012,JQ347801,863
516,Escherichia phage ECML-4,JX128257,950
517,Escherichia phage ECML-117,JX128258,951
518,Escherichia phage ECML-134,JX128259,952
519,Enterobacteria phage T7M,JX421753,991
520,Escherichia phage EC6,JX560968,1001
521,Enterobacteria phage phi80,JX871397,1036
522,synthetic Enterobacteria phage phiX174.1f,JX913857,1042
523,Escherichia phage EC1-UPM,KC206276,1471
524,Enterobacteria phage ID204 Moscow/ID,KC237308,1163
525,Escherichia phage PBECO 4,KC295538,1165
526,Enterobacteria phage phiJLA23,KC333879,1167
527,Escherichia phage 1720a-02,KF030445,1390
528,Enterobacteria phage FL68 Tallahassee/FL/2012,KF044309,1439
529,Enterobacteria phage FL76 Tallahassee/FL/2012,KF044310,1440
530,Escherichia phage JH2,KF055347,1391
531,Escherichia phage vB_EcoP_PhAPEC7,KF562340,1720
532,Escherichia phage vB_EcoM_PhAPEC2,KF562341,1721
533,Escherichia phage bV_EcoS_AHP24,KF771236,1579
534,Escherichia phage bV_EcoS_AHP42,KF771237,1580
535,Escherichia phage bV_EcoS_AHS24,KF771238,1581
536,Escherichia phage bV_EcoS_AKS96,KF771239,1582
537,Escherichia Stx1-converting recombinant phage HUN/2013,KJ909655,1831
538,Enterobacteria phage MED1,KJ997912,1841
539,Enterobacteria phage vB_EcoS_ACG-M12,NC_019404,1049
540,Enterobacteria phage mEp237,NC_019704,1154
541,Enterobacteria phage mEpX2,NC_019705,1111
542,Enterobacteria phage mEp043 c-1,NC_019706,1112
543,Enterobacteria phage M,NC_019707,1113
544,Enterobacteria phage mEp235,NC_019708,1114
545,Enterobacteria phage mEpX1,NC_019709,1115
546,Enterobacteria phage HK140,NC_019710,1116
547,Enterobacteria phage HK629,NC_019711,1117
548,Enterobacteria phage HK446,NC_019714,1119
549,Enterobacterial phage mEp234,NC_019715,1120
550,Enterobacteria phage mEp460,NC_019716,1121
551,Enterobacteria phage HK225,NC_019717,1122
552,Enterobacteria phage vB_EcoS_Rogue1,NC_019718,1123
553,Enterobacteria phage HK633,NC_019719,1124
554,Enterobacterial phage mEp213,NC_019720,1125
555,Enterobacterial phage mEp390,NC_019721,1126
556,Enterobacteria phage HK630,NC_019723,1128
557,Enterobacteria phage HK578,NC_019724,1129
558,Enterobacteria phage HK544,NC_019767,1131
559,Enterobacteria phage HK106,NC_019768,1132
560,Enterobacteria phage HK542,NC_019769,1133
561,Escherichia phage phAPEC8,NC_020079,1184
562,Enterobacteria phage 4MG,NC_022968,1525
563,Escherichia phage phiEB49,NC_023743,1697
564,Escherichia phage rv5,DQ832317,334
565,Escherichia phage Av-05,KM190144,1840
566,Enterobacteria phage RB9,KM606998,1887
567,Enterobacteria phage RB6,KM606996,1885
568,Enterobacteria phage RB7,KM606997,1886
569,Enterobacteria phage RB5,KM606995,1884
570,Enterobacteria phage RB10,KM606999,1888
571,Enterobacteria phage RB59,KM607003,1892
572,Enterobacteria phage RB3,KM606994,1883
573,Enterobacteria phage RB33,KM607001,1890
