349,Enterococcus phage vB_Efae230P-4,Enterococcus faecium
350,Enterococcus phage IME-EF4,Enterococcus sp. CR-Ec1
351,Erwinia phage PhiEaH1,Erwinia amylovora
352,Erwinia amylovora phage Era103,Erwinia amylovora
353,Erwinia phage phiEa21-4,Erwinia amylovora
354,Erwinia phage vB_EamM-Y2,Erwinia amylovora
355,Erwinia phage vB_EamP-L1,Erwinia amylovora
356,Erwinia phage vB_EamP-S6,Erwinia amylovora
357,Erwinia phage ENT90,Erwinia amylovora
358,Erwinia phage phiEaH2,Erwinia amylovora
359,Erwinia phage vB_EamM-M7,Erwinia amylovora
360,Erwinia phage Ea35-70,Erwinia amylovora
361,Erwinia phage Ea9-2,Erwinia amylovora
362,Erwinia phage PEp14,Erwinia pyrifoliae
363,Erwinia phage FE44,Erwinia sp. Ejp617
364,Enterobacteria phage phiP27,Escherichia coli
365,Enterobacteria phage JL1,Escherichia coli
366,Stx2 converting phage I,Escherichia coli
367,Enterobacteria phage fiAA91-ss,Escherichia coli
368,Enterobacteria phage SSL-2009a,Escherichia coli
369,Escherichia phage Lw1,Escherichia coli
370,Escherichia phage KBNP1711,Escherichia coli
371,Escherichia phage vB_EcoM_FFH2,Escherichia coli
372,Escherichia phage vB_EcoS_FFH1,Escherichia coli
373,Enterobacteria phage Bp4,Escherichia coli
374,Enterobacteria phage 9g,Escherichia coli
375,Escherichia phage vB_EcoM_JS09,Escherichia coli
376,Escherichia phage PE3-1,Escherichia coli
377,Enterobacteria phage P2,Escherichia coli
378,Enterobacteria phage If1,Escherichia coli
379,Enterobacteria phage 933W,Escherichia coli
380,Enterobacteria phage T4,Escherichia coli
381,Enterobacteria phage HK022,Escherichia coli
382,Enterobacteria phage PRD1,Escherichia coli
383,Enterobacteria phage N15,Escherichia coli
384,Enterobacteria phage Mu,Escherichia coli
385,Enterobacteria phage HK620,Escherichia coli
386,Enterobacteria phage lambda,Escherichia coli
387,Enterobacteria phage BP-4795,Escherichia coli
388,Stx1 converting phage,Escherichia coli
389,Enterobacteria phage RB49,Escherichia coli
390,Stx2 converting phage II,Escherichia coli
391,Enterobacteria phage G4,Escherichia coli
392,Enterobacteria phage T3,Escherichia coli
393,Enterobacteria phage P4,Escherichia coli
394,Enterobacteria phage T7,Escherichia coli
395,Enterobacteria phage T1,Escherichia coli
396,Enterobacteria phage M13,Escherichia coli
397,Enterobacteria phage alpha3,Escherichia coli
398,Enterobacteria phage I2-2,Escherichia coli
399,Enterobacteria phage HK97,Escherichia coli
400,Enterobacteria phage Ike,Escherichia coli
401,Enterobacteria phage GA,Escherichia coli
402,Enterobacterio phage MS2,Escherichia coli
403,Enterobacteria phage RB69,Escherichia coli
404,Enterobacteria phage T5,Escherichia coli
405,Enterobacteria phage FI,Escherichia coli
406,Enterobacteria phage Qbeta,Escherichia coli
407,Enterobacteria phage JK06,Escherichia coli
408,Enterobacteria phage K1F,Escherichia coli
409,Enterobacteria phage RTP,Escherichia coli
410,Enterobacteria phage K1E,Escherichia coli
411,Escherichia phage phiV10,Escherichia coli
